11/05 10:59:40 [DEBUG] [25572] [COMPS.Data.SerializableEntity] OutputFileMetadata --> {'Id': '_internal_id', 'Length': 'length', 'FriendlyName': 'friendly_name', 'PathFromRoot': 'path_from_root', 'Url': 'url', 'MimeType': 'mime_type'}
11/05 10:59:57 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [status.txt -> status.txt] to map
11/05 10:59:57 [DEBUG] [25572] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/download/ONtHMqeoZuapWxg4UNpPVhzy3rs.SH2nwAvUk.pJ7vI_/UmVzZXJ2ZWRGb3JGdXR1cmVVc2U_/XFxpbnRlcm5hbC5pZG0uY3RyXElETVxIb21lXGpvcnVzc2VsbFxvdXRwdXRcYWRkSW5wdXRFSVJfU3VndW5ndW1fQ2FsaWJfZnJlZV9JTV8yMDE5MTEwNF8yMjU1NTRcOWVmXGNmZlw1MzVcOWVmY2ZmNTMtNTZmZi1lOTExLWEyYzMtYzQzNDZiY2IxNTUxXG91dHB1dFxNYWxhcmlhU3VtbWFyeVJlcG9ydF9Nb250aGx5X1JlcG9ydC5qc29u/MalariaSummaryReport_Monthly_Report.json
11/05 10:59:59 [DEBUG] [25572] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/Simulations/72cc024e-56ff-e911-a2c3-c4346bcb1551/Output {'flatten': 1}
11/05 10:59:59 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [output/DemographicsSummary.json -> DemographicsSummary.json] to map
11/05 10:59:59 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [output/BinnedReport.json -> BinnedReport.json] to map
11/05 10:59:59 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [output/MalariaSummaryReport_Monthly_Report.json -> MalariaSummaryReport_Monthly_Report.json] to map
11/05 10:59:59 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [output/InsetChart.json -> InsetChart.json] to map
11/05 10:59:59 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [campaign.json -> campaign.json] to map
11/05 10:59:59 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [config.json -> config.json] to map
11/05 10:59:59 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [StdErr.txt -> StdErr.txt] to map
11/05 10:59:59 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [emodules_map.json -> emodules_map.json] to map
